Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize
Jun,1,Wednesday,Honda,Rural,Monday,Jun,1,Male,Married,62,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8281,7,400,1,more than 30,more than 30,more than 4,more than 7,51 to 65,Yes,No,External,more than 5,no change,1 vehicle,1995,Liability,13269.1177951426
May,5,Tuesday,Ford,Urban,Thursday,Jun,1,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8282,12,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,1 year,1 vehicle,1995,Collision,10889.4809597057
Jul,4,Tuesday,Pontiac,Urban,Thursday,Aug,3,Female,Married,63,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8283,8,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,3 to 4,1995,Liability,96853.0445841011
Sep,4,Monday,Toyota,Urban,Wednesday,Sep,5,Male,Married,63,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8284,6,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,7030.28286795721
Dec,3,Thursday,Chevrolet,Rural,Friday,Dec,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8286,12,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,35960.514518555
Dec,5,Saturday,Chevrolet,Urban,Wednesday,Jan,1,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8287,12,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1995,All Perils,56921.5264010553
Jan,1,Thursday,Toyota,Urban,Tuesday,Jan,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8288,1,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,2841.58936365482
May,1,Wednesday,Pontiac,Urban,Thursday,May,2,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8289,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,83698.6991271822
Nov,5,Tuesday,Mazda,Urban,Monday,Dec,2,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,8290,14,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,34080.0957937429
May,3,Sunday,Honda,Urban,Monday,May,3,Male,Married,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8291,4,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,61816.78511403
May,3,Monday,Mazda,Urban,Tuesday,May,3,Female,Married,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8292,5,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,5406.23181347683
May,3,Wednesday,Honda,Urban,Wednesday,May,3,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8293,3,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,8214.15411068636
May,3,Saturday,Honda,Urban,Monday,May,4,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8294,1,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,6661.3447982809
Sep,3,Friday,Honda,Urban,Tuesday,Sep,3,Male,Single,23,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8295,6,400,4,more than 30,more than 30,2 to 4,6 years,26 to 30,Yes,No,External,more than 5,no change,1 vehicle,1995,Collision,7428.09249216046
Sep,3,Tuesday,Mazda,Urban,Wednesday,Sep,3,Female,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8297,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,2535.82549524006
Sep,3,Wednesday,Mazda,Urban,Monday,Sep,4,Male,Married,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8298,1,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,8426.97588029405
Dec,3,Friday,Mazda,Urban,Friday,Dec,3,Male,Married,65,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8299,6,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision,3561.12872273606
Dec,4,Monday,Chevrolet,Urban,Wednesday,Dec,4,Male,Married,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8300,12,400,3,more than 30,more than 30,none,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision,2871.98780031622
Dec,4,Wednesday,Honda,Urban,Friday,Dec,5,Male,Married,78,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8301,4,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Liability,5498.72633460803
Dec,4,Wednesday,Mazda,Urban,Friday,Dec,5,Male,Married,50,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8302,8,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,8658.7505499368
Oct,2,Tuesday,VW,Urban,Tuesday,Oct,2,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,8304,9,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,89129.7551883813
Jun,1,Tuesday,Toyota,Urban,Wednesday,Jun,2,Male,Single,44,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8306,14,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,50126.9759553489
May,3,Monday,Chevrolet,Urban,Monday,May,3,Male,Single,30,Policy Holder,Utility - All Perils,Utility,more than 69000,0,8308,7,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,69479.8840374881
Apr,3,Thursday,Honda,Urban,Friday,May,4,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8309,8,700,4,more than 30,more than 30,none,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,1995,Collision,9085.55450286098
Mar,4,Sunday,Toyota,Urban,Tuesday,Apr,1,Male,Single,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8310,4,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,4147.64746517831
Dec,3,Thursday,Pontiac,Urban,Monday,Dec,3,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8312,4,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,33840.7041543892
Nov,2,Sunday,Pontiac,Urban,Monday,Nov,3,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1,8314,11,500,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1995,All Perils,7238.28955824455
Nov,2,Monday,Toyota,Urban,Thursday,Nov,4,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8315,13,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,3017.90646239987
Oct,2,Monday,Pontiac,Urban,Monday,Oct,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,8316,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,67116.2588003759
Aug,1,Monday,Pontiac,Urban,Friday,Aug,2,Male,Single,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8318,14,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,52419.3797932517
Nov,5,Wednesday,Toyota,Urban,Friday,Dec,1,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8319,8,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,9091.29118086135
May,2,Tuesday,Honda,Urban,Tuesday,May,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8320,7,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,1012.37461675839
Dec,1,Thursday,Pontiac,Urban,Monday,Dec,2,Male,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8321,1,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,14411.2018833508
Apr,3,Friday,Pontiac,Urban,Monday,Apr,3,Female,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8322,10,400,3,more than 30,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,5967.56948346339
Sep,5,Thursday,Mazda,Urban,Tuesday,Oct,1,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8323,16,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,3322.92533480177
Jul,2,Wednesday,Pontiac,Urban,Monday,Aug,2,Male,Single,34,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,8324,7,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,3 to 4,1995,All Perils,3956.12449519503
Aug,2,Monday,Accura,Urban,Monday,Sep,3,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,8325,4,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,74447.1609834862
Oct,1,Sunday,Pontiac,Urban,Monday,Oct,1,Male,Married,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8326,5,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Collision,7741.59805043937
Jul,2,Sunday,Accura,Urban,Friday,Sep,5,Male,Married,48,Policy Holder,Utility - All Perils,Utility,more than 69000,0,8330,6,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,91760.0929849562
Jul,1,Friday,Honda,Urban,Friday,Jul,2,Male,Married,52,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8331,10,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,2178.04940213024
Dec,1,Thursday,Toyota,Urban,Monday,Dec,4,Female,Married,49,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,8334,10,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,55526.0694212824
Dec,1,Thursday,Toyota,Urban,Friday,Dec,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,more than 69000,1,8335,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,59294.4555709387
Aug,4,Friday,Saturn,Urban,Friday,Sep,5,Male,Married,75,Policy Holder,Sedan - All Perils,Sedan,60000 to 69000,0,8336,1,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,71756.9413197145
Jul,4,Friday,Toyota,Urban,Tuesday,Oct,1,Male,Married,61,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8337,9,400,4,more than 30,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,1536.93046307135
Jul,3,Saturday,VW,Urban,Tuesday,Oct,1,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8338,7,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,more than 5,4 to 8 years,2 vehicles,1995,All Perils,84577.1347233716
Dec,3,Monday,Honda,Urban,Monday,Jan,1,Male,Single,24,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,8339,4,400,1,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils,55118.0335198313
Feb,4,Tuesday,Honda,Urban,Wednesday,Mar,1,Male,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8340,14,700,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,2048.03290876712
May,5,Monday,Pontiac,Urban,Thursday,Jun,3,Female,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8342,15,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,5208.7700432695
Aug,4,Thursday,Pontiac,Urban,Tuesday,Sep,4,Female,Married,60,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8343,10,400,1,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,26248.422576349
Aug,3,Friday,Mazda,Urban,Monday,Aug,4,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8344,10,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,4137.81891365399
Aug,3,Tuesday,Pontiac,Urban,Thursday,Aug,3,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8345,15,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,3648.1549084958
Oct,3,Tuesday,Toyota,Urban,Wednesday,Oct,3,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8347,12,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,82211.8592620639
Nov,5,Wednesday,Toyota,Urban,Wednesday,Dec,3,Female,Widow,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8348,3,400,3,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,5111.86510244057
Dec,2,Friday,Pontiac,Rural,Friday,Dec,3,Male,Married,70,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8350,13,400,1,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,8844.7734779578
Dec,1,Tuesday,Toyota,Urban,Monday,Dec,2,Male,Married,51,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8351,16,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,18417.0691956357
May,1,Friday,Honda,Urban,Friday,May,3,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8352,15,400,2,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,13390.6210674537
Dec,1,Friday,Honda,Urban,Friday,Dec,3,Female,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,8353,11,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,8293.93159914314
Sep,1,Saturday,Pontiac,Urban,Monday,Sep,1,Male,Single,59,Policy Holder,Sport - All Perils,Sport,20000 to 29000,0,8354,10,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,3785.44318465553
Oct,5,Monday,Mazda,Urban,Friday,Nov,1,Female,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8355,1,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,6331.30252408473
Nov,1,Wednesday,Honda,Urban,Thursday,Nov,1,Female,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8356,9,400,1,more than 30,more than 30,2 to 4,2 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,8475.48109424665
Jul,3,Thursday,Pontiac,Urban,Monday,Jul,4,Male,Married,55,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,8357,2,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,70337.2117885373
Dec,1,Saturday,Toyota,Urban,Saturday,Dec,3,Male,Married,52,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8359,5,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,Collision,4830.46847179343
Apr,4,Friday,Toyota,Urban,Wednesday,Apr,4,Male,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8360,7,400,2,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,2842.18316083744
Nov,1,Wednesday,Accura,Urban,Thursday,Nov,1,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8361,7,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,1475.05978498928
Aug,2,Saturday,Toyota,Urban,Monday,Aug,4,Male,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,1,8365,13,500,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,2 to 3 years,3 to 4,1995,Collision,9819.71314420171
Aug,1,Tuesday,Pontiac,Urban,Wednesday,Aug,1,Male,Married,59,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,8366,11,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,2002.81558667495
Dec,1,Sunday,Chevrolet,Urban,Thursday,Dec,3,Male,Single,32,Policy Holder,Utility - All Perils,Utility,more than 69000,1,8367,11,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,66034.9921768977
Mar,2,Wednesday,Pontiac,Urban,Thursday,Mar,3,Male,Married,58,Third Party,Sedan - Liability,Sport,less than 20000,0,8371,9,700,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,3683.64100856244
Jan,2,Wednesday,Chevrolet,Urban,Thursday,Jan,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8373,5,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,1 year,1 vehicle,1995,Liability,7182.01342453541
May,4,Tuesday,Ford,Urban,Wednesday,May,4,Male,Married,48,Third Party,Sedan - Liability,Sport,40000 to 59000,0,8374,13,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,71989.0321827851
May,3,Sunday,Toyota,Urban,Monday,May,3,Female,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,8375,9,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,65821.0879310162
May,3,Friday,Toyota,Urban,Monday,May,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8376,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,51406.0007404176
Jul,1,Tuesday,Toyota,Urban,Friday,Jul,2,Male,Single,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8377,2,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,1568.19269746411
Dec,1,Sunday,Pontiac,Urban,Friday,Dec,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,8378,1,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,85555.9162356059
Aug,2,Sunday,VW,Urban,Tuesday,Aug,2,Male,Married,40,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,8379,13,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,61377.7542273605
Sep,3,Saturday,Honda,Urban,Wednesday,Sep,4,Male,Single,28,Third Party,Sport - Collision,Sport,more than 69000,0,8380,10,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision,55918.1283888816
Sep,5,Wednesday,Mercury,Urban,Monday,Oct,1,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,8381,10,400,1,more than 30,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,1589.98912206289
Jan,2,Thursday,Toyota,Urban,Friday,Jan,2,Male,Married,47,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8383,1,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,17605.5795946614
Jan,3,Saturday,Accura,Urban,Wednesday,Jan,3,Male,Married,39,Third Party,Sedan - All Perils,Sedan,more than 69000,0,8384,2,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,52494.3374219172
Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8386,3,400,2,more than 30,more than 30,more than 4,6 years,26 to 30,Yes,No,External,none,no change,1 vehicle,1995,Collision,29667.663265762
May,4,Sunday,Toyota,Urban,Tuesday,May,4,Male,Single,32,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8387,13,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,9696.37455910615
Sep,4,Monday,Mazda,Urban,Monday,Sep,4,Male,Married,79,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8388,14,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,7415.65318434671
Sep,4,Wednesday,Dodge,Urban,Sunday,Oct,1,Female,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8390,7,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,4973.51672755176
Sep,5,Thursday,Honda,Urban,Thursday,Sep,5,Female,Single,40,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8391,14,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,3343.99621382231
Oct,1,Thursday,Pontiac,Urban,Monday,Oct,2,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8392,2,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,731.981729076269
Oct,1,Tuesday,Pontiac,Urban,Friday,Oct,1,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8393,14,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,9372.24431383655
Sep,5,Saturday,Chevrolet,Urban,Monday,Oct,1,Female,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8395,8,400,2,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,14619.9996000174
Dec,1,Monday,Toyota,Urban,Monday,Dec,1,Female,Married,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8396,1,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,2282.27236889063
Jun,1,Friday,VW,Urban,Monday,Jun,1,Male,Single,27,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8398,7,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,72236.9158018574
May,5,Wednesday,Honda,Urban,Friday,Jun,1,Male,Married,57,Third Party,Sport - Collision,Sport,more than 69000,0,8399,10,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,69417.9546199162
Jan,4,Tuesday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,59,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8400,11,400,2,more than 30,more than 30,1,6 years,51 to 65,Yes,No,External,1 to 2,no change,1 vehicle,1995,Collision,9485.87737100014
Jan,4,Tuesday,Pontiac,Urban,Friday,Jan,4,Female,Married,54,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8401,16,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,All Perils,11237.4086967938
Jan,4,Saturday,Honda,Urban,Tuesday,Jan,4,Male,Married,39,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8402,14,700,1,more than 30,more than 30,1,7 years,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1995,Collision,1670.56319328426
Jan,3,Monday,Honda,Urban,Friday,Jan,4,Male,Married,45,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8404,7,400,2,none,15 to 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,1603.49130308599
Nov,3,Thursday,Chevrolet,Rural,Friday,Nov,3,Male,Married,46,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8405,10,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,3463.42728651651
Oct,2,Friday,Honda,Urban,Wednesday,Nov,1,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,8406,10,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1995,Collision,3691.43342163293
Sep,5,Thursday,Toyota,Urban,Friday,Jan,4,Male,Single,60,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8407,16,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,11239.7629377598
Dec,1,Tuesday,Honda,Urban,Thursday,Dec,3,Male,Married,52,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,8408,8,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,1232.11191945386
Sep,1,Saturday,Toyota,Urban,Monday,Oct,1,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8409,11,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,2873.86187154349
Jun,1,Saturday,Chevrolet,Urban,Monday,Jun,1,Male,Single,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8410,12,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,5874.57844711957
